,word1,word2,prediction
0,abandon,frost,0.45
1,abandon,railroad,0.508
2,abortion,religion,0.7502821095959595
3,abstract,candle,0.29599999999999993
4,abstract,frog,0.276
5,abstract,moon,0.3
6,abstract,rally,0.316
7,abuse,abuse,0.5486979229270145
8,abuse,disorder,0.610361859898628
9,accommodate,adjust,0.764
10,accommodation,accommodation,0.7680388945752303
11,accompany,walking,0.5529999999999999
12,account,explanation,0.6199953627272727
13,account,invoice,0.6266693674747476
14,act,improvement,0.24399999999999994
15,action,adjustment,0.39469071619357676
16,action,entrance,0.40329071619357676
17,activity,solo,0.38231007258640654
18,activity,variation,0.3266458546571136
19,actor,amateur,0.6157782525530356
20,ad,track,0.46799999999999997
21,add,increased,0.7190592447652946
22,add,string,0.36634595701125894
23,addition,segment,0.7189393780317948
24,admitting,confess,0.22699999999999995
25,adult,dentist,0.47387683996683955
26,advance,advance,0.475
27,advance,string,0.296
28,advice,recommendation,0.41879631525076766
29,advised,murder,0.47379999999999994
30,aerial,clown,0.476
31,africa,territory,0.5304542935167167
32,age,history,0.5416401939555224
33,agency,police,0.42910149111111107
34,aim,intending,0.45788062444444455
35,air,cold,0.289
36,air,plasma,0.28900000000000003
37,air,satellite,0.23499999999999996
38,aircraft,fleet,0.5624224857070707
39,aircraft,flight,0.9054809437832312
40,aircraft,yacht,0.5624224857070708
41,airplane,plane,0.6700735363589887
42,ale,bitter,0.8427801827777778
43,alley,street,0.7318726714431936
44,aluminum,component,0.5251261798822034
45,aluminum,imperative,0.47590671245796107
46,american,lobster,0.5095209825997953
47,ammunition,intolerable,0.37739999999999996
48,amount,number,0.36235939101010095
49,amounted,make,0.5359999999999999
50,amusement,athletics,0.7016195286363637
51,amusement,procedure,0.43561952863636366
52,anatomy,palm,0.4870513833838384
53,ancient,city,0.328
54,angel,asphalt,0.24800000000000005
55,angel,pod,0.21670092227272728
56,angrier,stormy,0.7226000000000001
57,animal,asia,0.5485875127942682
58,animal,flora,0.4681750841919192
59,animal,giraffe,0.4405875127942682
60,animal,mural,0.45599999999999996
61,animal,wild,0.454
62,animal,worm,0.5565875127942681
63,animal,zoo,0.48804298874104396
64,anniversary,marriage,0.5043971231215947
65,answering,counter,0.4547272727272727
66,anxiety,insecurities,0.5475875127942682
67,apartment,staircase,0.512
68,appliance,dryer,0.7829935720707071
69,appreciate,see,0.604
70,approach,avenue,0.3052441153087166
71,approach,merit,0.3052441153087166
72,approach,trench,0.30524411530871665
73,approval,encouragement,0.5635864892528147
74,approving,interaction,0.5413168884339815
75,aquarium,coin,0.5209286146535282
76,arch,brick,0.5720000000000001
77,arch,roof,0.588
78,architecture,urban,0.5880000000000001
79,area,space,0.3177274002223359
80,argument,evidence,0.5248266299494949
81,arm,bicycle,0.3961600621717172
82,arm,television,0.347486571895361
83,arrange,discard,0.3593642468133331
84,arrange,study,0.6132471533333334
85,arrangement,blizzard,0.2904666837256909
86,arrangement,room,0.6559999999999999
87,art,craft,0.5300276564430698
88,art,gem,0.5260276564430697
89,art,museum,0.7860235996727245
90,art,painting,0.7279959432296549
91,article,cup,0.3685897645854657
92,article,girl,0.6455353535353536
93,ash,bone,0.21620689655484543
94,ash,coil,0.3078131415151515
95,asphalt,crane,0.44236642784032754
96,asphalt,water,0.82
97,assets,exclude,0.7447288635858585
98,association,organization,0.6096317297850563
99,association,realtor,0.5152317297850563
100,asylum,dollar,0.37703275332650976
101,asylum,shelter,0.4021200948191743
102,athletics,racing,0.5367605266027539
103,athletics,swimming,0.6719999999999999
104,attempt,give,0.4024
105,attempt,initiate,0.3492
106,attitude,notice,0.3256530194472876
107,attitude,study,0.6526530194472876
108,attorney,lawyer,0.6205300203232428
109,auto,bright,0.25158620689030914
110,automobile,fabric,0.6700000000000002
111,automobile,racing,0.8423009211873081
112,autumn,foliage,0.5399999999999999
